-3.13802	-3.13802	0.71487	0.71463	71.4988
-3.12685	-3.12686	1.51834	1.51782	80.4334
-3.10769	-3.1077	2.3136	2.31348	79.7815
-3.08064	-3.08064	3.09613	3.0979	78.8005
-3.04584	-3.04581	3.86208	3.86795	77.5922
-3.00349	-3.00336	4.60782	4.6207	76.2279
-2.95509	-2.95479	5.07021	5.09367	48.4432
-2.90207	-2.90147	5.53137	5.56931	49.2663
-2.84451	-2.84344	5.97894	6.0352	49.0396
-2.78261	-2.78086	6.39914	6.47724	47.5846
-2.71671	-2.71407	6.77737	6.88025	44.7364
-2.64732	-2.64351	7.09915	7.2289	40.3563
-2.57507	-2.56983	7.34673	7.5045	33.8312
-2.50076	-2.4938	7.51242	7.69835	25.9684
-2.42524	-2.41627	7.59163	7.8051	16.7786
-2.34935	-2.33812	7.58394	7.82393	6.38328
-2.27396	-2.2602	7.49381	7.7594	-4.97448
-2.19985	-2.1833	7.33058	7.62146	-16.9383
-2.12767	-2.10809	7.10786	7.42474	-29.0624
-2.05794	-2.03505	6.84223	7.18704	-40.868
-1.99099	-1.9645	6.55155	6.92747	-51.8987
-1.927	-1.89657	6.25337	6.66456	-61.7709
-1.86595	-1.83121	5.96351	6.41481	-70.2101
-1.80769	-1.76822	5.69519	6.19166	-77.0665
-1.75196	-1.70727	5.45866	6.00512	-82.3093
-1.6984	-1.64798	5.26124	5.86182	-86.0025
-1.64659	-1.58988	5.10769	5.76535	-88.2716
-1.59609	-1.53251	5.0007	5.71679	-89.2694
-1.54642	-1.47539	4.94137	5.7151	-89.1463
-1.49711	-1.41806	4.92962	5.75755	-88.0304
-1.44767	-1.36011	4.96447	5.83988	-86.0165
-1.39767	-1.30116	5.04412	5.95636	-83.1627
-1.34666	-1.24091	5.16595	6.09982	-79.4948
-1.29424	-1.17913	5.32632	6.26152	-75.0131
-1.24005	-1.11569	5.52032	6.43115	-69.7038
-1.18378	-1.05056	5.74147	6.59692	-63.5515
-1.1252	-0.983863	5.98138	6.74586	-56.553
-1.06418	-0.915821	6.22951	6.86433	-48.7318
-1.00069	-0.84681	6.47319	6.93895	-40.1514
-0.934861	-0.777331	6.69784	6.95757	-30.9259
-0.866949	-0.707993	6.8877	6.91055	-21.2257
-0.797383	-0.639485	7.0269	6.7917	-11.2747
-0.726744	-0.572538	7.10087	6.59905	-1.33881
-0.655743	-0.507878	7.09788	6.3349	8.29556
-0.585188	-0.446189	7.01031	6.00536	17.3497
-0.515942	-0.388083	6.83555	5.61923	25.583
-0.448865	-0.334071	6.57606	5.18665	32.8191
-0.384772	-0.284567	6.23876	4.71776	38.9622
-0.324393	-0.239888	5.83383	4.22156	44.0008
-0.268344	-0.200268	5.37328	3.70529	47.9978
-0.217121	-0.165881	4.86945	3.17421	51.0709
-0.171098	-0.136859	4.33389	2.63174	53.3683
-0.130543	-0.113306	3.77659	2.07984	55.0441
-0.0956313	-0.0953103	3.20568	1.51951	56.2388
-0.0664676	-0.0829552	2.62737	0.951362	57.0654
-0.0431022	-0.076316	2.04621	0.376035	57.6033
-0.0255471	-0.0754595	1.46538	-0.205297	57.897
