-3.12868	-3.12869	2.58173	2.58087	258.22
-3.08235	-3.08237	6.68294	6.68066	410.697
-2.99524	-2.99528	10.7309	10.7297	407.913
-2.86879	-2.86881	14.5412	14.5478	391.623
-2.70643	-2.7063	17.895	17.9184	361.139
-2.5138	-2.51333	20.5761	20.6237	316.564
-2.29842	-2.29734	22.4375	22.5096	259.025
-2.06858	-2.0667	23.4694	23.5567	190.779
-1.83187	-1.82911	23.8303	23.9162	115.019
-1.59356	-1.59001	23.8197	23.8868	35.3628
-1.35551	-1.35145	23.809	23.8423	-44.8035
-1.11587	-1.11169	24.1669	24.1543	-122.815
-0.869357	-0.865579	25.2054	25.1353	-196.881
-0.608021	-0.605268	27.1417	27.0058	-265.914
-0.322382	-0.321301	30.0571	29.8619	-329.167
-0.0031072	-0.00411394	33.8295	33.6189	-385.76
0.356526	0.353712	38.048	37.9161	-434.157
0.757503	0.754193	41.9813	42.0239	-471.691
1.19243	1.1904	44.719	44.9123	-494.539
1.64543	1.64535	45.5244	45.6859	-498.674
2.09585	2.09651	44.2193	44.1952	-481.836
2.52475	2.52436	41.3146	41.1508	-445.322
2.92059	2.91853	37.7349	37.5901	-394.005
-3.0021	-3.00501	34.3495	34.334	-334.214
-2.67767	-2.68001	30.5975	30.7218	-385.835
-2.38461	-2.3852	28.1	28.3163	-296.126
-2.11066	-2.1089	26.764	27.0086	-203.423
-1.84565	-1.84158	26.2859	26.4915	-109.066
-1.58308	-1.57741	26.2379	26.3424	-14.1872
-1.32108	-1.31505	26.1288	26.0947	79.5283
-1.06266	-1.05765	25.4865	25.3221	169.484
-0.814952	-0.812035	23.9676	23.7269	252.253
-0.587478	-0.587054	21.4461	21.1989	324.162
-0.389851	-0.391718	18.0206	17.8144	382.208
-0.229931	-0.233597	13.9314	13.7769	424.809
-0.112965	-0.117976	9.44975	9.33166	451.982
-0.0416993	-0.0478002	4.80148	4.69826	464.939
-0.0169674	-0.0240871	0.145268	0.0437667	465.492
